iteration,total_env_steps,mode,avg_episode_reward,success_rate,avg_best_reward,avg_episode_length,num_episodes,timestamp
65,8496000,train,5.2462,0.0571,0.2435,60.0,2400,2025-10-05 16:10:43
66,8640000,train,5.4813,0.0688,0.2554,60.0,2400,2025-10-05 16:15:36
67,8784000,train,5.3072,0.0525,0.2462,60.0,2400,2025-10-05 16:20:28
68,8928000,train,5.3467,0.07,0.2475,60.0,2400,2025-10-05 16:25:21
69,9072000,train,5.3612,0.0588,0.2463,60.0,2400,2025-10-05 16:30:14
70,9072000,eval,11.7514,0.2183,0.4082,60.0,2400,2025-10-05 16:32:44
71,9216000,train,5.1246,0.0558,0.2368,60.0,2400,2025-10-05 16:37:37
72,9360000,train,5.4069,0.0646,0.2466,60.0,2400,2025-10-05 16:42:29
73,9504000,train,5.6422,0.0725,0.2665,60.0,2400,2025-10-05 16:47:22
74,9648000,train,5.5992,0.065,0.2614,60.0,2400,2025-10-05 16:52:14
75,9792000,train,5.3491,0.0671,0.2512,60.0,2400,2025-10-05 16:57:07
76,9936000,train,5.6008,0.07,0.2617,60.0,2400,2025-10-05 17:02:00
77,10080000,train,5.7164,0.0717,0.2666,60.0,2400,2025-10-05 17:06:54
78,10224000,train,5.4506,0.0629,0.253,60.0,2400,2025-10-05 17:11:46
79,10368000,train,5.3648,0.0608,0.2448,60.0,2400,2025-10-05 17:16:39
80,10368000,eval,12.5036,0.2342,0.4433,60.0,2400,2025-10-05 17:19:11
81,10512000,train,5.4162,0.0621,0.2554,60.0,2400,2025-10-05 17:24:04
82,10656000,train,5.4812,0.0646,0.2566,60.0,2400,2025-10-05 17:28:56
83,10800000,train,5.3648,0.0567,0.2478,60.0,2400,2025-10-05 17:33:49
84,10944000,train,5.4521,0.0625,0.2579,60.0,2400,2025-10-05 17:38:42
85,11088000,train,5.2949,0.0633,0.2489,60.0,2400,2025-10-05 17:43:35
86,11232000,train,5.4945,0.0658,0.2533,60.0,2400,2025-10-05 17:48:28
87,11376000,train,5.1864,0.0621,0.2397,60.0,2400,2025-10-05 17:53:21
88,11520000,train,5.3699,0.0683,0.2505,60.0,2400,2025-10-05 17:58:14
89,11664000,train,5.0793,0.0592,0.239,60.0,2400,2025-10-05 18:03:06
90,11664000,eval,11.8039,0.2146,0.4265,60.0,2400,2025-10-05 18:05:37
